401,1118,694,1214,880
402,1115,697,1212,882
403,1113,699,1210,884
404,1110,702,1208,886
405,1108,705,1206,888
406,1105,707,1204,890
407,1103,710,1202,892
408,1100,713,1200,895
409,1098,715,1198,897
410,1095,718,1196,899
411,1093,721,1194,901
412,1090,723,1192,903
413,1088,726,1190,905
414,1085,729,1188,907
415,1083,731,1186,909
416,1080,734,1184,911
417,1078,737,1182,913
418,1075,739,1180,915
419,1073,742,1178,917
420,1070,745,1176,920
421,1067,747,1174,922
422,1065,750,1172,924
423,1062,753,1170,926
424,1060,755,1168,928
425,1057,758,1166,930
426,1055,761,1165,932
427,1052,763,1163,934
428,1050,766,1161,936
429,1047,769,1159,938
430,1045,771,1157,940
431,1042,774,1155,942
432,1040,777,1153,945
433,1037,779,1151,947
434,1035,782,1149,949
435,1032,785,1147,951
436,1030,787,1145,953
437,1027,790,1143,955
438,1025,793,1141,957
439,1022,795,1139,959
440,1020,798,1137,961
441,1017,801,1135,963
442,1014,803,1133,965
443,1012,806,1131,967
444,1009,809,1129,969
445,1007,811,1127,972
446,1004,814,1125,974
447,1002,817,1123,976
448,999,819,1121,978
449,997,822,1119,980
450,994,825,1117,982
451,992,827,1115,984
452,989,830,1113,986
453,987,833,1111,988
454,984,835,1109,990
455,982,838,1107,992
456,979,841,1105,994
457,977,843,1103,997
458,974,846,1101,999
459,972,849,1099,1001
460,969,851,1097,1003
461,966,854,1095,1005
462,964,857,1093,1007
463,961,859,1091,1009
464,959,862,1089,1011
465,956,865,1087,1013
466,954,867,1085,1015
467,951,870,1083,1017
468,949,873,1081,1019
469,946,875,1079,1021
470,944,878,1077,1024
471,941,881,1075,1026
472,939,883,1073,1028
473,936,886,1071,1030
474,934,889,1069,1032
475,931,891,1067,1034
476,929,894,1066,1036
477,926,897,1064,1038
478,924,899,1062,1040
479,921,902,1060,1042
480,919,905,1058,1044
481,916,907,1056,1046
482,913,910,1054,1049
483,911,913,1052,1051
484,908,915,1050,1053
485,906,918,1048,1055
486,903,921,1046,1057
487,901,923,1044,1059
488,898,926,1042,1061
489,896,929,1040,1063
490,893,931,1038,1065
491,891,934,1036,1067
492,888,937,1034,1069
493,886,939,1032,1071
494,883,942,1030,1074
495,881,945,1028,1076
496,878,947,1026,1078
497,876,950,1024,1080
498,873,953,1022,1082
499,871,955,1020,1084
